task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,6,4,[],internal,2
1,1,3,[],external,2
2,5,1,"[1, 0]",internal,2
3,4,3,[],internal,1
4,2,1,"[3, 1, 0]",internal,2
5,3,2,[],internal,3
6,5,5,"[5, 0, 2]",internal,1
7,4,3,"[5, 6]",external,1
8,1,1,[],internal,0
9,5,5,"[2, 0]",internal,1
10,2,2,"[8, 3]",external,1
11,1,4,[6],external,2
12,2,4,[],internal,2
13,2,3,"[12, 6]",internal,0
14,4,2,"[4, 10]",internal,2
15,1,4,"[11, 3]",internal,3
16,7,4,[],external,2
17,1,3,"[2, 10, 0]",internal,2
18,3,5,[8],external,1
19,6,5,[],external,2
20,4,2,[],external,1
21,3,4,[8],internal,2
22,3,1,[],external,0
23,3,1,"[16, 10]",internal,0
24,4,2,[20],internal,2
25,7,1,"[9, 17, 16]",internal,3
26,7,3,"[10, 0, 16]",internal,0
27,1,1,"[2, 15, 23]",external,3
28,1,4,"[12, 16]",internal,1
29,5,1,[14],external,3
30,5,5,"[17, 13]",external,0
31,1,5,"[2, 13]",internal,2
32,7,5,[],internal,1
