task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,2,3,[],external,2
1,4,5,[],internal,2
2,1,4,"[1, 0]",internal,2
3,6,1,[],external,1
4,2,2,"[2, 1, 3]",internal,2
5,2,1,"[4, 0, 2]",external,0
6,4,2,[1],external,1
7,7,5,"[0, 5, 3]",internal,2
8,6,2,[1],external,1
9,1,5,[5],internal,1
10,2,5,[],internal,2
11,2,2,[5],internal,1
12,4,5,[],external,0
13,2,4,"[5, 10, 0]",internal,0
14,4,3,[],external,1
15,3,1,[],external,2
16,4,2,"[3, 10]",internal,2
17,4,1,[],external,0
18,1,4,[5],internal,0
19,2,1,"[8, 12, 5]",internal,1
