task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,4,4,[],internal,1
1,5,1,[],external,0
2,4,1,[0],external,0
3,2,1,"[0, 2]",external,1
4,3,5,"[1, 3, 2]",internal,0
5,1,1,"[1, 4, 0]",internal,2
6,1,3,[2],external,2
7,2,2,"[6, 2]",external,0
8,6,1,[1],internal,2
9,4,1,[6],external,2
10,7,1,[6],internal,1
11,6,1,[],internal,2
12,4,2,"[8, 9]",external,0
13,2,2,"[1, 6, 3]",internal,1
14,3,4,[],external,2
15,2,3,"[0, 4]",external,0
16,5,4,[],external,1
17,1,3,[6],internal,0
18,5,3,[12],internal,2
19,3,1,[],internal,0
