task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,6,4,[],internal,0
1,4,2,[],external,2
2,2,5,[0],internal,1
3,6,5,"[2, 0, 1]",external,0
4,7,4,"[0, 3, 1]",external,2
5,3,3,[],internal,2
6,4,3,[2],internal,1
7,7,5,"[4, 1]",external,1
8,4,5,"[3, 0, 5]",external,0
9,7,1,"[6, 7]",external,2
10,7,4,"[7, 6, 0]",external,0
11,6,1,[],external,1
12,5,1,[10],external,2
13,5,5,[8],internal,1
14,1,1,"[3, 5]",external,1
15,1,4,"[2, 7]",external,2
16,2,2,[14],internal,2
17,2,1,[],external,0
18,3,1,"[8, 4]",external,2
19,1,3,[3],external,2
