task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,3,2,[],external,2
1,4,2,[],internal,2
2,5,2,[1],internal,2
3,5,1,[],external,2
4,6,3,[],external,1
5,6,1,"[2, 1, 4]",internal,2
6,4,4,[4],external,3
7,5,3,"[5, 2, 0]",external,1
8,1,5,[3],external,0
9,1,5,[],external,2
10,4,1,[7],external,3
11,7,2,"[10, 7]",internal,3
12,1,5,"[11, 10]",internal,0
13,4,2,"[5, 1, 4]",internal,3
14,5,1,[],internal,0
15,5,1,"[2, 3, 12]",internal,2
16,4,1,"[1, 5]",external,0
17,6,2,"[16, 4]",external,3
18,7,3,"[3, 14]",internal,2
19,2,5,[16],external,2
20,1,4,[],internal,1
21,4,1,"[17, 3]",external,0
22,7,5,[],internal,1
23,4,2,[11],internal,3
24,4,4,[2],internal,3
25,7,2,"[22, 18]",internal,0
26,2,3,"[23, 11]",internal,1
27,3,4,"[19, 6]",internal,1
28,5,5,"[18, 19]",internal,1
29,6,4,[],external,1
30,2,3,[6],internal,1
31,5,1,[23],internal,3
32,2,5,[],external,2
