task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,5,2,[],internal,3
1,6,3,[],external,3
2,6,1,"[1, 0]",internal,3
3,7,2,[1],external,1
4,1,2,"[0, 3]",external,2
5,6,1,"[2, 1, 4]",internal,0
6,2,1,[5],internal,2
7,5,4,[3],internal,1
8,3,5,"[6, 3]",external,2
9,4,1,"[8, 3, 4]",internal,3
10,5,1,"[3, 6, 9]",external,1
11,4,3,[],external,2
12,7,2,"[4, 2, 10]",internal,3
13,3,4,"[3, 5, 12]",external,2
14,1,3,[],internal,1
15,6,5,[11],external,3
16,1,4,[7],internal,2
17,3,1,[10],internal,3
18,3,1,"[5, 9]",internal,0
19,5,4,"[2, 15]",internal,3
20,4,2,"[11, 12, 17]",external,1
21,6,4,"[18, 20, 5]",external,0
22,7,5,[10],external,3
23,4,1,"[10, 18]",internal,1
24,2,5,"[1, 7]",internal,2
25,3,5,"[8, 3, 24]",internal,0
26,6,1,[],internal,3
27,1,3,"[23, 13, 6]",external,2
28,2,2,[],external,2
29,4,5,"[4, 24]",internal,0
30,3,4,"[5, 13, 19]",external,2
31,6,5,"[29, 11]",external,0
32,3,2,[],external,3
