instance,f1_min,f2_min,f3_min,f1_max,f2_max,f3_max
1,1.0,1.0,0.1835555555555555,5.0,5.0,0.6977777777777777
2,0.0,4.0,0.4323809523809528,0.0,12.0,0.5923809523809523
3,1.0,1.0,0.2733333333333333,8.0,17.0,1.0000000000000009
4,1.0,0.0,0.2071428571428572,2.0,18.0,0.7699999999999992
5,1.0,1.0,0.3244444444444441,4.0,8.0,1.0000000000000018
6,1.0,1.0,0.2586666666666665,4.0,19.0,0.7600000000000007
7,0.0,1.0,0.264,3.0,12.0,1.0
8,0.0,1.0,0.2800000000000002,4.0,8.0,0.9999999999999978
9,1.0,0.0,0.2146666666666667,6.0,9.0,0.6977777777777782
10,1.0,1.0,0.2866666666666667,7.0,11.0,1.0000000000000002
