task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,4,[],external,0
1,2,1,[0],external,1
2,1,4,"[0, 1]",internal,1
3,3,1,"[2, 1, 0]",internal,1
4,5,5,[0],external,1
5,4,4,"[1, 2, 4]",internal,3
6,3,5,"[0, 4, 5]",internal,3
7,1,2,[],external,3
8,5,2,[7],internal,0
9,1,5,[5],internal,1
10,2,5,"[3, 5]",external,0
11,2,5,"[4, 1, 0]",external,1
12,2,4,"[3, 9]",internal,1
13,1,4,[7],internal,3
14,6,5,[],external,2
15,1,3,[1],external,0
16,4,5,[1],internal,2
17,7,5,"[11, 7, 1]",external,0
18,4,2,"[15, 13]",internal,2
19,3,3,"[2, 4, 17]",internal,3
20,4,3,"[13, 6]",external,2
21,1,2,[1],internal,1
22,5,1,[19],internal,2
23,5,5,[10],external,3
24,1,4,[5],external,1
25,3,3,[13],external,0
26,3,1,"[25, 21]",external,0
27,2,4,"[18, 9]",internal,1
28,1,5,[],external,2
29,6,2,[],internal,0
30,5,4,[],internal,3
