task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,1,[],external,3
1,1,3,[0],external,2
2,7,1,[],internal,1
3,3,3,[2],external,1
4,2,4,"[0, 3]",external,1
5,3,5,[],internal,0
6,4,5,[],external,1
7,1,2,[],external,1
8,1,4,"[2, 1, 7]",internal,3
9,1,4,"[2, 6, 1]",internal,2
10,2,2,"[0, 1, 4]",internal,1
11,6,5,"[3, 7, 6]",internal,0
12,2,2,[],external,3
13,7,4,[0],internal,0
14,5,1,"[13, 7]",internal,0
15,4,5,[12],external,1
16,7,1,[2],internal,2
17,5,2,"[16, 5]",internal,2
18,6,3,"[16, 13]",internal,2
19,2,2,"[0, 13, 6]",external,1
20,2,4,[],internal,2
21,6,3,[11],internal,0
22,4,4,"[13, 9, 16]",internal,2
23,5,2,"[1, 10, 16]",external,2
24,5,2,"[0, 14]",external,3
25,7,3,[],internal,2
26,7,5,"[23, 2]",internal,0
27,1,4,[12],external,3
28,6,5,[],external,0
29,2,2,"[16, 0, 14]",internal,1
30,4,2,[19],internal,2
