task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,1,[],internal,0
1,4,4,[0],external,0
2,4,3,"[0, 1]",internal,3
3,2,4,"[0, 1, 2]",external,3
4,7,2,"[1, 3]",internal,1
5,5,2,[],internal,2
6,1,5,"[5, 3, 2]",external,0
7,5,5,"[2, 6, 0]",external,0
8,1,1,"[0, 5]",external,0
9,1,4,[],external,3
10,4,2,"[5, 7]",external,1
11,2,5,[],internal,3
12,2,1,[9],internal,1
13,5,1,[7],external,1
14,1,2,"[13, 10]",external,3
15,3,2,"[2, 5, 12]",internal,3
16,3,4,[4],internal,0
17,6,4,"[12, 4]",internal,1
18,3,2,"[17, 1, 13]",external,2
19,3,2,[],internal,0
20,3,5,[],internal,2
21,1,1,"[20, 13, 8]",external,3
22,3,4,[],external,0
23,7,1,"[3, 14]",internal,3
24,7,2,"[11, 0, 17]",external,3
25,1,4,[],internal,0
26,3,1,"[14, 24]",internal,0
27,3,3,"[6, 2, 24]",internal,2
28,3,2,[3],internal,3
29,6,5,[26],external,1
30,7,3,"[4, 3, 23]",internal,0
