task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,4,3,[],external,2
1,7,2,[],external,0
2,5,4,[1],external,0
3,4,3,"[1, 2, 0]",internal,0
4,2,5,"[1, 0]",external,2
5,1,4,"[1, 2]",internal,0
6,1,3,"[3, 0, 5]",internal,1
7,7,3,"[5, 3, 6]",external,2
8,4,1,[3],external,0
9,5,3,[7],internal,3
10,2,5,[],internal,1
11,7,3,[],internal,3
12,4,1,[6],internal,3
13,4,2,"[3, 9, 4]",external,3
14,4,5,"[4, 0]",external,3
15,2,3,[],internal,0
16,1,3,"[4, 7, 5]",internal,2
17,4,1,[],internal,3
18,3,5,"[16, 7, 2]",internal,0
19,2,3,[],external,3
20,6,1,[],internal,0
21,7,2,[5],internal,3
22,7,2,"[9, 1, 3]",external,3
23,1,3,"[12, 14, 9]",external,3
24,4,4,"[3, 19]",external,2
25,4,3,"[19, 13]",external,3
26,7,1,[11],external,0
27,7,2,"[13, 23, 15]",external,3
28,2,2,[],internal,1
29,7,1,"[9, 14, 20]",internal,0
30,2,2,"[28, 26]",internal,2
